fips,GeoName,income_per_capita_2007,income_per_capita_2015
" ""00000""",United States,39588,48060
" ""01000""",Alabama,32516,38197
" ""01001""","Autauga, AL",31665,38130
" ""01003""","Baldwin, AL",36215,41502
" ""01005""","Barbour, AL",25475,31024
" ""01007""","Bibb, AL",24054,28760
" ""01009""","Blount, AL",26576,32469
" ""01011""","Bullock, AL",20924,24955
" ""01013""","Butler, AL",26973,34694
" ""01015""","Calhoun, AL",30039,33633
" ""01017""","Chambers, AL",26536,30691
" ""01019""","Cherokee, AL",26300,34626
" ""01021""","Chilton, AL",27239,31667
" ""01023""","Choctaw, AL",23838,34610
" ""01025""","Clarke, AL",26353,33487
" ""01027""","Clay, AL",27554,29745
" ""01029""","Cleburne, AL",25720,34136
" ""01031""","Coffee, AL",32469,39198
" ""01033""","Colbert, AL",29513,34702
" ""01035""","Conecuh, AL",23919,30050
" ""01037""","Coosa, AL",25535,28554
" ""01039""","Covington, AL",26575,32348
" ""01041""","Crenshaw, AL",26736,36764
" ""01043""","Cullman, AL",29386,36284
" ""01045""","Dale, AL",31417,34380
" ""01047""","Dallas, AL",26257,31313
" ""01049""","DeKalb, AL",25350,30370
" ""01051""","Elmore, AL",31771,37402
" ""01053""","Escambia, AL",24512,29887
" ""01055""","Etowah, AL",28302,33706
" ""01057""","Fayette, AL",24321,31917
" ""01059""","Franklin, AL",26745,31072
" ""01061""","Geneva, AL",26598,32345
" ""01063""","Greene, AL",26083,30641
" ""01065""","Hale, AL",26270,33632
" ""01067""","Henry, AL",28539,37905
" ""01069""","Houston, AL",34619,38637
" ""01071""","Jackson, AL",28505,33351
" ""01073""","Jefferson, AL",41095,47839
" ""01075""","Lamar, AL",24465,31011
" ""01077""","Lauderdale, AL",29594,34449
" ""01079""","Lawrence, AL",26647,31747
" ""01081""","Lee, AL",28471,33834
" ""01083""","Limestone, AL",30708,37805
" ""01085""","Lowndes, AL",27766,36284
" ""01087""","Macon, AL",22822,28301
" ""01089""","Madison, AL",39218,46109
" ""01091""","Marengo, AL",28782,34990
" ""01093""","Marion, AL",24892,30398
" ""01095""","Marshall, AL",28111,34050
" ""01097""","Mobile, AL",30479,35761
" ""01099""","Monroe, AL",25639,31537
" ""01101""","Montgomery, AL",35515,39733
" ""01103""","Morgan, AL",31550,35903
" ""01105""","Perry, AL",23586,28767
" ""01107""","Pickens, AL",27088,31484
" ""01109""","Pike, AL",29170,34329
" ""01111""","Randolph, AL",26515,32481
" ""01113""","Russell, AL",25615,29995
" ""01115""","St. Clair, AL",29121,35355
" ""01117""","Shelby, AL",44918,50230
" ""01119""","Sumter, AL",23362,29283
" ""01121""","Talladega, AL",26595,31293
" ""01123""","Tallapoosa, AL",29903,36714
" ""01125""","Tuscaloosa, AL",31778,34536
" ""01127""","Walker, AL",31321,36560
" ""01129""","Washington, AL",26558,34286
" ""01131""","Wilcox, AL",22206,28979
" ""01133""","Winston, AL",26372,31563
" ""02000""",Alaska,43747,56714
" ""02010""","Aleutian Islands Census Area, AK*",(NA),(NA)
" ""02013""","Aleutians East Borough, AK*",32467,49039
" ""02016""","Aleutians West Census Area, AK*",36922,53772
" ""02020""","Anchorage Municipality, AK",50680,62670
" ""02050""","Bethel Census Area, AK*",29136,39799
" ""02060""","Bristol Bay Borough, AK",53801,104536
" ""02063""","Chugach Census Area, AK*",(NA),(NA)
" ""02066""","Copper River Census Area, AK*",(NA),(NA)
" ""02068""","Denali Borough, AK*",49387,88432
" ""02070""","Dillingham Census Area, AK*",34352,53622
" ""02090""","Fairbanks North Star Borough, AK",42197,53019
" ""02100""","Haines Borough, AK*",37007,64143
" ""02105""","Hoonah-Angoon Census Area, AK*",(NA),53748
" ""02110""","Juneau City and Borough, AK",49479,62186
" ""02122""","Kenai Peninsula Borough, AK*",37524,50737
" ""02130""","Ketchikan Gateway Borough, AK*",49098,62922
" ""02150""","Kodiak Island Borough, AK",41228,60561
" ""02158""","Kusilvak Census Area, AK*",20879,28021
" ""02164""","Lake and Peninsula Borough, AK*",34853,54739
" ""02170""","Matanuska-Susitna Borough, AK",36317,47199
" ""02180""","Nome Census Area, AK",32850,47046
" ""02185""","North Slope Borough, AK*",31047,94467
" ""02188""","Northwest Arctic Borough, AK",32064,41491
" ""02195""","Petersburg Borough, AK*",(NA),63565
" ""02198""","Prince of Wales-Hyder Census Area, AK*",(NA),40126
" ""02201""","Prince of Wales-Outer Ketchikan Census Area, AK*",27902,(NA)
" ""02220""","Sitka City and Borough, AK*",43299,65559
" ""02230""","Skagway Municipality, AK*",(NA),69434
" ""02231""","Skagway-Yakutat-Angoon Census Area, AK*",(NA),(NA)
" ""02232""","Skagway-Hoonah-Angoon Census Area, AK*",39698,(NA)
" ""02240""","Southeast Fairbanks Census Area, AK*",35934,47332
" ""02261""","Valdez-Cordova Census Area, AK*",44090,56278
" ""02275""","Wrangell City and Borough, AK*",(NA),50711
" ""02280""","Wrangell-Petersburg Census Area, AK*",41707,(NA)
" ""02282""","Yakutat City and Borough, AK*",41149,55289
" ""02290""","Yukon-Koyukuk Census Area, AK*",33018,48189
" ""02901""","Aleutian Islands Division, AK*",(NA),(NA)
" ""02903""","Angoon Division, AK*",(NA),(NA)
" ""02904""","Barrow-North Slope Division, AK*",(NA),(NA)
" ""02905""","Bethel Division, AK*",(NA),(NA)
" ""02907""","Bristol Bay Division, AK*",(NA),(NA)
" ""02908""","Cordova-McCarthy Division, AK*",(NA),(NA)
" ""02910""","Haines Division, AK*",(NA),(NA)
" ""02912""","Kenai-Cook Inlet Division, AK*",(NA),(NA)
" ""02916""","Kuskokwim Division, AK*",(NA),(NA)
" ""02919""","Outer Ketchikan Division, AK*",(NA),(NA)
" ""02920""","Prince of Wales Division, AK*",(NA),(NA)
" ""02921""","Seward Division, AK*",(NA),(NA)
" ""02922""","Sitka Division, AK*",(NA),(NA)
" ""02923""","Skagway-Yakutat Division, AK*",(NA),(NA)
" ""02924""","Southeast Fairbanks Division, AK*",(NA),(NA)
" ""02925""","Upper Yukon Division, AK*",(NA),(NA)
" ""02926""","Valdez-Chitina-Whittier Division, AK*",(NA),(NA)
" ""02928""","Wrangell-Petersburg Division, AK*",(NA),(NA)
" ""02929""","Yukon-Koyukuk Division, AK*",(NA),(NA)
" ""04000""",Arizona,35602,39836
" ""04001""","Apache, AZ",22452,30968
" ""04003""","Cochise, AZ",31406,36659
" ""04005""","Coconino, AZ",33669,42186
" ""04007""","Gila, AZ",28584,35407
" ""04009""","Graham, AZ",22761,28644
" ""04011""","Greenlee, AZ",29398,33546
" ""04012""","La Paz, AZ*",24796,33604
" ""04013""","Maricopa, AZ",39392,42948
" ""04015""","Mohave, AZ",25005,29410
" ""04017""","Navajo, AZ",22564,28189
" ""04019""","Pima, AZ",34258,38571
" ""04021""","Pinal, AZ",25195,29821
" ""04023""","Santa Cruz, AZ",26735,32390
" ""04025""","Yavapai, AZ",30149,35641
" ""04027""","Yuma, AZ*",26307,31949
" ""05000""",Arkansas,31036,39266
" ""05001""","Arkansas, AR",30559,40132
" ""05003""","Ashley, AR",27244,33009
" ""05005""","Baxter, AR",29109,34401
" ""05007""","Benton, AR",48998,77755
" ""05009""","Boone, AR",27162,32894
" ""05011""","Bradley, AR",25683,35126
" ""05013""","Calhoun, AR",24101,32960
" ""05015""","Carroll, AR",25493,30126
" ""05017""","Chicot, AR",25918,33053
" ""05019""","Clark, AR",25880,33019
" ""05021""","Clay, AR",26498,30204
" ""05023""","Cleburne, AR",27141,35729
" ""05025""","Cleveland, AR",28282,37088
" ""05027""","Columbia, AR",28645,34716
" ""05029""","Conway, AR",28397,36495
" ""05031""","Craighead, AR",27927,35104
" ""05033""","Crawford, AR",25245,31413
" ""05035""","Crittenden, AR",27820,33773
" ""05037""","Cross, AR",25725,31765
" ""05039""","Dallas, AR",25835,31483
" ""05041""","Desha, AR",27464,34509
" ""05043""","Drew, AR",27577,33933
" ""05045""","Faulkner, AR",29471,35458
" ""05047""","Franklin, AR",24924,31724
" ""05049""","Fulton, AR",20372,26099
" ""05051""","Garland, AR",31335,36480
" ""05053""","Grant, AR",29762,35593
" ""05055""","Greene, AR",24796,32100
" ""05057""","Hempstead, AR",23542,29733
" ""05059""","Hot Spring, AR",24801,28810
" ""05061""","Howard, AR",26817,33878
" ""05063""","Independence, AR",28362,32664
" ""05065""","Izard, AR",23377,28210
" ""05067""","Jackson, AR",23609,34298
" ""05069""","Jefferson, AR",27041,31659
" ""05071""","Johnson, AR",22329,27950
" ""05073""","Lafayette, AR",25850,33975
" ""05075""","Lawrence, AR",23119,31000
" ""05077""","Lee, AR",23500,24578
" ""05079""","Lincoln, AR",20704,24004
" ""05081""","Little River, AR",27011,33376
" ""05083""","Logan, AR",26416,32105
" ""05085""","Lonoke, AR",30507,36458
" ""05087""","Madison, AR",25187,32660
" ""05089""","Marion, AR",23314,29470
" ""05091""","Miller, AR",27486,31368
" ""05093""","Mississippi, AR",25890,28641
" ""05095""","Monroe, AR",24691,29325
" ""05097""","Montgomery, AR",22266,27625
" ""05099""","Nevada, AR",26103,30881
" ""05101""","Newton, AR",21430,27380
" ""05103""","Ouachita, AR",26679,34215
" ""05105""","Perry, AR",26520,33198
" ""05107""","Phillips, AR",25738,28921
" ""05109""","Pike, AR",25434,31315
" ""05111""","Poinsett, AR",25516,29461
" ""05113""","Polk, AR",22491,28522
" ""05115""","Pope, AR",27310,32939
" ""05117""","Prairie, AR",25339,31243
" ""05119""","Pulaski, AR",42436,46878
" ""05121""","Randolph, AR",24095,29014
" ""05123""","St. Francis, AR",21214,26077
" ""05125""","Saline, AR",31589,39017
" ""05127""","Scott, AR",21544,28803
" ""05129""","Searcy, AR",22299,26863
" ""05131""","Sebastian, AR",31884,39081
" ""05133""","Sevier, AR",24037,30675
" ""05135""","Sharp, AR",24478,31778
" ""05137""","Stone, AR",22880,29485
" ""05139""","Union, AR",38578,40765
" ""05141""","Van Buren, AR",22730,30307
" ""05143""","Washington, AR",29254,36466
" ""05145""","White, AR",26589,33084
" ""05147""","Woodruff, AR",24379,33952
" ""05149""","Yell, AR",24589,31847
" ""06000""",California,43070,53817
" ""06001""","Alameda, CA",47750,61618
" ""06003""","Alpine, CA",35410,63924
" ""06005""","Amador, CA",32783,39764
" ""06007""","Butte, CA",31301,39352
" ""06009""","Calaveras, CA",35107,42659
" ""06011""","Colusa, CA",32112,39272
" ""06013""","Contra Costa, CA",57499,67056
" ""06015""","Del Norte, CA",24715,33072
" ""06017""","El Dorado, CA",46762,58818
" ""06019""","Fresno, CA",30293,38296
" ""06021""","Glenn, CA",29216,38924
" ""06023""","Humboldt, CA",32246,40594
" ""06025""","Imperial, CA",26270,36121
" ""06027""","Inyo, CA",39553,50961
" ""06029""","Kern, CA",28861,36532
" ""06031""","Kings, CA",26563,32733
" ""06033""","Lake, CA",29238,35796
" ""06035""","Lassen, CA",24905,31092
" ""06037""","Los Angeles, CA",41765,53067
" ""06039""","Madera, CA",26800,34323
" ""06041""","Marin, CA",88333,109274
" ""06043""","Mariposa, CA",33037,43701
" ""06045""","Mendocino, CA",33603,41701
" ""06047""","Merced, CA",27971,35167
" ""06049""","Modoc, CA",30145,42461
" ""06051""","Mono, CA",37698,44056
" ""06053""","Monterey, CA",40621,49757
" ""06055""","Napa, CA",47390,62781
" ""06057""","Nevada, CA",44042,53134
" ""06059""","Orange, CA",50670,59242
" ""06061""","Placer, CA",46918,58519
" ""06063""","Plumas, CA",35702,44091
" ""06065""","Riverside, CA",31497,36590
" ""06067""","Sacramento, CA",38310,45866
" ""06069""","San Benito, CA",36659,44028
" ""06071""","San Bernardino, CA",29882,35179
" ""06073""","San Diego, CA",44352,53357
" ""06075""","San Francisco, CA",74402,103625
" ""06077""","San Joaquin, CA",31964,38463
" ""06079""","San Luis Obispo, CA",39634,49914
" ""06081""","San Mateo, CA",75009,99076
" ""06083""","Santa Barbara, CA",45186,54318
" ""06085""","Santa Clara, CA",61760,83773
" ""06087""","Santa Cruz, CA",45656,56902
" ""06089""","Shasta, CA",32582,40252
" ""06091""","Sierra, CA",27705,36501
" ""06093""","Siskiyou, CA",30219,39585
" ""06095""","Solano, CA",37429,43597
" ""06097""","Sonoma, CA",44055,53594
" ""06099""","Stanislaus, CA",30799,39006
" ""06101""","Sutter, CA",32772,39130
" ""06103""","Tehama, CA",27142,35500
" ""06105""","Trinity, CA",25133,29552
" ""06107""","Tulare, CA",29074,35556
" ""06109""","Tuolumne, CA",31811,40912
" ""06111""","Ventura, CA",45736,54241
" ""06113""","Yolo, CA",38498,49027
" ""06115""","Yuba, CA",29421,36587
" ""08000""",Colorado,41760,51394
" ""08001""","Adams, CO*",30959,38161
" ""08003""","Alamosa, CO",27561,34224
" ""08005""","Arapahoe, CO",45922,54025
" ""08007""","Archuleta, CO",30542,40281
" ""08009""","Baca, CO",30653,37796
" ""08011""","Bent, CO",23759,24592
" ""08013""","Boulder, CO*",50429,63274
" ""08014""","Broomfield, CO*",57788,58109
" ""08015""","Chaffee, CO",29831,41366
" ""08017""","Cheyenne, CO",47210,44380
" ""08019""","Clear Creek, CO",45088,55716
" ""08021""","Conejos, CO",22203,33489
" ""08023""","Costilla, CO",23355,32481
" ""08025""","Crowley, CO",16503,20930
" ""08027""","Custer, CO",30833,43302
" ""08029""","Delta, CO",29098,33584
" ""08031""","Denver, CO",51386,67395
" ""08033""","Dolores, CO",25242,34304
" ""08035""","Douglas, CO",54689,61451
" ""08037""","Eagle, CO",60622,65425
" ""08039""","Elbert, CO",40282,52011
" ""08041""","El Paso, CO",36994,44157
" ""08043""","Fremont, CO",23667,30754
" ""08045""","Garfield, CO",43418,54316
" ""08047""","Gilpin, CO",42908,45889
" ""08049""","Grand, CO",34157,46226
" ""08051""","Gunnison, CO",35226,42531
" ""08053""","Hinsdale, CO",29125,44615
" ""08055""","Huerfano, CO",27404,36764
" ""08057""","Jackson, CO",34803,48264
" ""08059""","Jefferson, CO*",45780,55945
" ""08061""","Kiowa, CO",43500,45816
" ""08063""","Kit Carson, CO",30633,34622
" ""08065""","Lake, CO",27548,33397
" ""08067""","La Plata, CO",41205,53757
" ""08069""","Larimer, CO",37666,46451
" ""08071""","Las Animas, CO",28778,34653
" ""08073""","Lincoln, CO",25519,27766
" ""08075""","Logan, CO",33330,47973
" ""08077""","Mesa, CO",35446,40302
" ""08079""","Mineral, CO",33235,56956
" ""08081""","Moffat, CO",34864,39723
" ""08083""","Montezuma, CO",30576,40507
" ""08085""","Montrose, CO",30822,36346
" ""08087""","Morgan, CO",27474,40411
" ""08089""","Otero, CO",28126,33614
" ""08091""","Ouray, CO",45263,53828
" ""08093""","Park, CO",32826,41345
" ""08095""","Phillips, CO",30971,37134
" ""08097""","Pitkin, CO",121304,128877
" ""08099""","Prowers, CO",28555,39780
" ""08101""","Pueblo, CO",28814,34564
" ""08103""","Rio Blanco, CO",40319,44766
" ""08105""","Rio Grande, CO",29399,40756
" ""08107""","Routt, CO",50095,69611
" ""08109""","Saguache, CO",24309,34627
" ""08111""","San Juan, CO",42815,56110
" ""08113""","San Miguel, CO",58979,75872
" ""08115""","Sedgwick, CO",38732,42826
" ""08117""","Summit, CO",46730,59410
" ""08119""","Teller, CO",36540,46524
" ""08121""","Washington, CO",28103,39730
" ""08123""","Weld, CO*",32279,43873
" ""08125""","Yuma, CO",39224,50134
" ""09000""",Connecticut,57112,66220
" ""09001""","Fairfield, CT",89760,101239
" ""09003""","Hartford, CT",48617,57678
" ""09005""","Litchfield, CT",49749,56257
" ""09007""","Middlesex, CT",50958,61157
" ""09009""","New Haven, CT",43848,50082
" ""09011""","New London, CT",44618,52089
" ""09013""","Tolland, CT",42756,51468
" ""09015""","Windham, CT",35574,41301
" ""10000""",Delaware,41539,47244
" ""10001""","Kent, DE",33172,37770
" ""10003""","New Castle, DE",45657,49881
" ""10005""","Sussex, DE",36750,48005
" ""11000""",District of Columbia,59358,74728
" ""11001""","District of Columbia, DC",59358,74728
" ""12000""",Florida,39184,44945
" ""12001""","Alachua, FL",34389,38570
" ""12003""","Baker, FL",25936,30014
" ""12005""","Bay, FL",35779,39683
" ""12007""","Bradford, FL",22423,31097
" ""12009""","Brevard, FL",36139,40773
" ""12011""","Broward, FL",41600,45964
" ""12013""","Calhoun, FL",20997,25055
" ""12015""","Charlotte, FL",33511,38669
" ""12017""","Citrus, FL",29756,35400
" ""12019""","Clay, FL",34916,40162
" ""12021""","Collier, FL",67489,82935
" ""12023""","Columbia, FL",26782,32281
" ""12027""","DeSoto, FL",20817,25265
" ""12029""","Dixie, FL",20191,25615
" ""12031""","Duval, FL",37555,40809
" ""12033""","Escambia, FL",32981,38440
" ""12035""","Flagler, FL",33505,40803
" ""12037""","Franklin, FL",29048,31530
" ""12039""","Gadsden, FL",27722,31478
" ""12041""","Gilchrist, FL",24224,30956
" ""12043""","Glades, FL",20782,26368
" ""12045""","Gulf, FL",24301,29215
" ""12047""","Hamilton, FL",20261,24746
" ""12049""","Hardee, FL",21715,27100
" ""12051""","Hendry, FL",23459,31232
" ""12053""","Hernando, FL",29722,34093
" ""12055""","Highlands, FL",27187,32100
" ""12057""","Hillsborough, FL",37626,43128
" ""12059""","Holmes, FL",22629,28345
" ""12061""","Indian River, FL",60287,67278
" ""12063""","Jackson, FL",26056,28680
" ""12065""","Jefferson, FL",31230,36411
" ""12067""","Lafayette, FL",19007,26319
" ""12069""","Lake, FL",33123,37806
" ""12071""","Lee, FL",40592,46576
" ""12073""","Leon, FL",35206,39561
" ""12075""","Levy, FL",26341,32651
" ""12077""","Liberty, FL",24893,22379
" ""12079""","Madison, FL",22657,30980
" ""12081""","Manatee, FL",39725,44359
" ""12083""","Marion, FL",30175,33170
" ""12085""","Martin, FL",62394,71819
" ""12086""","Miami-Dade, FL",37803,44327
" ""12087""","Monroe, FL",66708,67186
" ""12089""","Nassau, FL",44628,51810
" ""12091""","Okaloosa, FL",40738,44362
" ""12093""","Okeechobee, FL",24563,31164
" ""12095""","Orange, FL",34383,39646
" ""12097""","Osceola, FL",25905,30392
" ""12099""","Palm Beach, FL",61160,69164
" ""12101""","Pasco, FL",31411,37191
" ""12103""","Pinellas, FL",41374,47955
" ""12105""","Polk, FL",29889,33767
" ""12107""","Putnam, FL",25246,29125
" ""12109""","St. Johns, FL",53741,61170
